3,19,8,29,5,-2,-1,9,16,4,15,21,8,15,-109,4053,-130,-17,9,-5,163249
3,15,8,28,5,-3,-1,11,17,6,15,24,9,16,-106,4054,-129,-25,16,-10,163249
5,16,9,29,6,-3,1,9,16,4,16,21,9,14,-110,4064,-131,-21,15,-12,163249
6,13,9,29,7,-1,5,8,15,5,14,19,10,15,-108,4063,-133,-16,5,-9,163249
6,15,7,28,5,-5,4,10,14,4,14,21,9,13,-109,4059,-138,-21,11,-8,163249
5,16,9,29,5,-3,0,10,15,5,16,22,8,15,-117,4056,-136,-17,7,-7,163249
5,16,9,27,5,-2,4,10,13,4,16,21,11,14,-117,4056,-130,-22,9,-8,163249
6,15,8,29,6,-5,3,9,15,5,16,22,10,15,-112,4062,-136,-16,11,-7,163249
4,15,8,28,4,-3,0,9,16,5,16,23,9,13,-117,4061,-136,-19,12,-7,163250
8,11,13,29,3,0,-1,11,17,5,16,23,9,13,-117,4058,-147,-22,5,-4,163250
4,16,9,30,7,-4,4,9,16,5,15,22,10,15,-116,4058,-135,-21,11,-7,163250
5,16,9,28,6,-3,3,9,16,6,16,22,11,15,-109,4060,-142,-23,-2,-1,163250
3,16,9,29,6,-4,3,10,16,5,16,22,8,14,-118,4058,-138,-22,11,-7,163250
5,15,8,28,5,-2,0,10,17,4,16,20,10,15,-115,4060,-142,-24,0,-3,163250
5,16,10,28,6,-2,3,9,15,4,16,20,11,13,-119,4057,-139,-25,4,-3,163250
6,16,9,27,5,-3,3,11,15,3,15,20,10,14,-122,4056,-140,-26,10,-1,163250
7,9,13,28,3,-1,0,12,18,6,16,23,9,13,-109,4061,-140,-27,7,-2,163250
5,17,8,28,5,-2,0,10,16,4,15,23,9,14,-114,4064,-135,-23,14,-7,163250
5,16,9,29,6,-3,5,8,16,5,15,20,10,15,-113,4058,-140,-23,10,-6,163250
4,17,7,29,7,-3,1,9,16,5,15,22,9,14,-120,4060,-135,-27,15,-7,163250
